director,tmdb_id
Abbas Kiarostami,119294
Ana Lily Amirpour,1289604
Agnès Varda,6817
Akira Kurosawa,5026
Alfred Hitchcock,2636
Anna Muylaert,550280
Andrei Tarkovsky,8452
Anthony Russo,19271
Apichatpong Weerasethakul,69759
Ari Aster,1145520
Asghar Farhadi,229931
Billy Wilder,3146
Bong Joon-ho,21684
Brian De Palma,1150
Cacá Diegues,112117
Carl Theodor Dreyer,11572
Carlos Saura,96369
Charlie Chaplin,13848
Chris Columbus,10965
Christopher Nolan,525
Claire Denis,9888
Clint Eastwood,190
Coralie Fargeat,1607016
D.W. Griffith,100036
Dan Trachtenberg,568322
David Lynch,5602
Dario Argento,4955
Denis Villeneuve,137427
Dennis Gansel,52961
Don Siegel,14773
Dziga Vertov,95111
Eduardo Coutinho,932971
Edward Berger,221522
Emeric Pressburger,37846
Ethan Coen,1224
F.W. Murnau,9076
Federico Fellini,4415
Fernando Meirelles,8557
Francis Ford Coppola,1776
François Truffaut,1650
Fritz Lang,68
Gaspar Noé,14597
George Lucas,1
Glauber Rocha,544845
Greta Gerwig,45400
Guillermo del Toro,10828
Hal Ashby,4964
Hayao Miyazaki,608
Hector Babenco,40542
Howard Hawks,11435
Ingmar Bergman,6648
Isao Takahata,628
J. J. Abrams,15344
Jacques Audiard,17496
James Cameron,2710
James Mangold,366
Jean Renoir,11528
Jean-Luc Godard,3776
Joachim Trier,71609
Joaquim Pedro de Andrade,254884
Joe Russo,19272
Joel Coen,1223
John Carpenter,11770
John Cassavetes,11147
John Ford,8500
John Hughes,11505
Jon M. Chu,54507
Jon Favreau,15277
Jonathan Glazer,66728
José Padilha,52576
Justine Triet,1175620
Joss Whedon,12891
Julio Bressane,145608
Jūzō Itami,69167
Karim Aïnouz,55018
Kleber Mendonça Filho,1016214
Luc Besson,59
Luchino Visconti,15127
Luis Buñuel,793
Martin Scorsese,1032
Mel Brooks,14639
Michael Mann,638
Michael Powell,68424
Michelangelo Antonioni,15189
Nagisa Oshima,46230
Nelson Pereira dos Santos,12386
Noah Baumbach,5656
Nuri Bilge Ceylan,56214
Orson Welles,40
Ozamu Tezuka,58160
Park Chan-wook,10099
Paul Feig,116805
Paul Thomas Anderson,4762
Payal Kapadia,1467320
Pedro Almodóvar,309
Quentin Tarantino,138
RaMell Ross,1934875
Rian Johnson,67367
Richard Linklater,564
Ridley Scott,578
Robert Altman,9789
Robert Bresson,10346
Robert Eggers,138781
Roberto Rossellini,4410
Roman Polanski,3556
Ruy Guerra,20548
Ryan Coogler,1056121
Sam Peckinpah,7767
Sam Raimi,7623
Satyajit Ray,12160
Sean Baker,118415
Sergei Eisenstein,9603
Sergio Leone,4385
Shohei Imamura,20025
Sidney Lumet,39996
Spike Lee,5281
Stanley Kubrick,240
Steven Spielberg,488
Suzana Amaral,1173933
Tarsem Singh,56512
Terrence Malick,30715
Theo Angelopoulos,10316
Vittorio De Sica,12329
Walt Disney,2106
Walter Salles,8574
Werner Herzog,6818
Wes Anderson,5655
William Friedkin,15175
Wong Kar-wai,12453
Woody Allen,1243
Yojiro Takita,76936
Yasujiro Ozu,95501
Yorgos Lanthimos,122423
