director,tmdb_id
Abbas Kiarostami,119294
Agnès Varda,6817
Akira Kurosawa,5026
Alfred Hitchcock,2636
Anna Muylaert,550280
Andrei Tarkovsky,8452
Anthony Russo
Apichatpong Weerasethakul,69759
Ari Aster,1145520
Asghar Farhadi,229931
Billy Wilder,3146
Bong Joon-ho,21684
Brian De Palma,1150
Cacá Diegues,112117
Carl Theodor Dreyer,11572
Charlie Chaplin,13848
Chris Columbus
Christopher Nolan,525
Claire Denis,9888
Clint Eastwood,190
Coralie Fargeat,1607016
D.W. Griffith,100036
Dan Trachtenberg
David Lynch,5602
Denis Villeneuve,137427
Dennis Gansel
Don Siegel,14773
Dziga Vertov,95111
Eduardo Coutinho,932971
Edward Berger,221522
Emeric Pressburger,37846
Ethan Coen,1224
F.W. Murnau,9076
Federico Fellini,4415
Fernando Meirelles,8557
Francis Ford Coppola,1776
François Truffaut,1650
Fritz Lang,68
Gaspar Noé,14597
George Lucas,1
Glauber Rocha,544845
Greta Gerwig,45400
Guillermo del Toro,10828
Hal Ashby
Hayao Miyazaki
Hector Babenco
Howard Hawks
Ingmar Bergman
Isao Takahata
J. J. Abrams
Jacques Audiard
James Cameron
James Mangold
Jean Renoir
Jean-Luc Godard
Joachim Trier
Joaquim Pedro de Andrade
Joe Russo
Joel Coen
John Carpenter
John Cassavetes
John Ford
John Hughes
Jon M. Chu
Jon Favreau
Jonathan Glazer
José Padilha
Justine Triet
Joss Whedon
Julio Bressane
Karim Aïnouz
Kleber Mendonça Filho
Luc Besson
Luchino Visconti
Luis Buñuel
Martin Scorsese,1032
Mel Brooks
Michael Mann
Michael Powell
Michelangelo Antonioni
Nagisa Oshima
Nelson Pereira dos Santos
Noah Baumbach
Nuri Bilge Ceylan
Orson Welles
Park Chan-wook
Paul Feig
Paul Thomas Anderson
Payal Kapadia
Pedro Almodóvar
Quentin Tarantino
RaMell Ross
Rian Johnson
Richard Linklater
Ridley Scott
Robert Altman
Robert Bresson
Robert Eggers
Roberto Rossellini
Roman Polanski
Ruy Guerra
Ryan Coogler
Sam Peckinpah
Satyajit Ray
Sean Baker
Sergei Eisenstein
Sergio Leone
Shohei Imamura
Sidney Lumet
Spike Lee
Stanley Kubrick
Steven Spielberg
Suzana Amaral
Tarsem Singh
Terrence Malick
Theo Angelopoulos
Vittorio De Sica
Walt Disney
Walter Salles
Werner Herzog
Wes Anderson
William Friedkin
Wong Kar-wai
Woody Allen
Yasujiro Ozu
Yorgos Lanthimos
